RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH
71	4436.6	3.02E+01	7.79E-01	5.30E+09	1.94E-07	1.62E-03	2.32E-01	1.63E+01	8.29E-01	4.81E+01	2.64E-05	11.439	5.09E-01	1.15E+02
72	5016.2	3.03E+01	7.46E-01	4.51E+09	8.09E-07	1.21E-02	2.64E-01	8.41E+00	8.57E-01	3.51E+01	1.82E-05	53.065	1.02E+00	2.04E+02
73	4849.2	3.01E+01	8.13E-01	5.05E+09	4.88E-07	1.12E-02	2.33E-01	1.30E+01	8.64E-01	4.54E+01	2.73E-05	49.535	1.05E+00	2.16E+02
74														
75	3980.8	3.01E+01	6.55E-01	4.95E+09	4.91E-09	8.37E-03	2.33E-01	1.70E+01	8.31E-01	4.63E+01	2.30E-05	47.557	7.92E-01	1.99E+02
76	3342.7	3.01E+01	6.06E-01	5.44E+09	2.45E-09	8.49E-03	2.33E-01	1.88E+01	8.32E-01	5.11E+01	2.12E-05	53.577	7.52E-01	2.25E+02
77	2735.9	3.03E+01	5.34E-01	5.90E+09	7.85E-08	4.19E-03	2.64E-01	2.46E+01	8.59E-01	6.01E+01	2.10E-05	37.442	4.60E-01	1.68E+02
78	4759.4	3.01E+01	8.78E-01	5.55E+09	5.29E-21	9.33E-03	2.66E-01	1.97E+01	8.64E-01	5.38E+01	3.19E-05	44.315	9.57E-01	2.01E+02
79														
80	4024.8	3.06E+01	7.03E-01	5.34E+09	0.00E+00	7.20E-03	2.62E-01	2.07E+01	8.51E-01	5.22E+01	2.64E-05	42.002	7.47E-01	1.86E+02
81	3779.1	3.04E+01	6.62E-01	5.32E+09	7.36E-08	7.84E-03	2.30E-01	1.66E+01	8.23E-01	4.78E+01	2.17E-05	46.939	7.32E-01	1.94E+02
82	4383.6	3.04E+01	7.51E-01	5.20E+09	2.50E-07	1.04E-02	2.31E-01	1.51E+01	8.89E-01	4.95E+01	2.90E-05	53.36	8.95E-01	2.04E+02
83	4607.8	3.02E+01	8.56E-01	5.61E+09	2.72E-07	9.39E-03	2.32E-01	1.60E+01	8.62E-01	5.06E+01	2.94E-05	44.05	9.87E-01	2.14E+02
84	2236.4	3.04E+01	4.19E-01	5.69E+09	0.00E+00	4.26E-03	2.31E-01	2.41E+01	8.89E-01	6.14E+01	1.93E-05	44.532	4.15E-01	1.85E+02
85	3244	3.05E+01	5.61E-01	5.27E+09	0.00E+00	1.65E-03	2.30E-01	1.92E+01	8.54E-01	5.17E+01	2.18E-05	14.745	4.28E-01	1.32E+02
86	3124.9	3.03E+01	6.01E-01	5.82E+09	0.00E+00	6.80E-03	2.64E-01	2.34E+01	8.25E-01	5.56E+01	2.13E-05	49.604	6.03E-01	1.93E+02
87	3975.3	3.02E+01	7.23E-01	5.49E+09	0.00E+00	1.01E-02	2.32E-01	2.02E+01	8.62E-01	5.43E+01	2.81E-05	56.75	8.05E-01	2.02E+02
88	2550.4	3.04E+01	4.74E-01	5.64E+09	5.49E-07	7.15E-03	2.31E-01	1.37E+01	8.89E-01	5.06E+01	1.68E-05	56.983	5.77E-01	2.26E+02
89	3751.8	3.00E+01	7.38E-01	5.91E+09	3.43E-08	9.74E-03	2.33E-01	1.91E+01	8.66E-01	5.64E+01	2.75E-05	53.063	8.67E-01	2.31E+02
90	4110.2	3.02E+01	7.09E-01	5.21E+09	0.00E+00	8.27E-03	2.32E-01	1.89E+01	8.61E-01	5.18E+01	2.87E-05	44.536	8.62E-01	2.10E+02
91	3480.4	3.04E+01	6.15E-01	5.37E+09	0.00E+00	9.05E-03	2.30E-01	2.27E+01	8.22E-01	5.43E+01	2.42E-05	58.698	7.06E-01	2.03E+02
92	2432.8	3.05E+01	4.48E-01	5.61E+09	1.30E-07	5.19E-03	2.63E-01	2.50E+01	8.54E-01	5.85E+01	1.85E-05	46.01	5.21E-01	2.14E+02
93	3654.2	3.05E+01	6.17E-01	5.15E+09	-2.94E-08	1.93E-04	2.62E-01	2.18E+01	8.19E-01	5.02E+01	2.26E-05	2.556	4.04E-01	1.11E+02
94	2951	3.03E+01	5.56E-01	5.71E+09	0.00E+00	6.86E-03	2.64E-01	2.59E+01	8.25E-01	5.79E+01	2.13E-05	48.449	6.14E-01	2.08E+02
95	4258	3.04E+01	7.84E-01	5.61E+09	2.40E-07	9.56E-03	2.30E-01	1.94E+01	8.22E-01	5.27E+01	2.76E-05	47.585	8.68E-01	2.04E+02
96	2794	3.04E+01	5.57E-01	6.06E+09	5.15E-08	5.25E-03	2.63E-01	2.49E+01	8.55E-01	6.11E+01	2.22E-05	40.296	5.73E-01	2.05E+02
97	4065.7	3.01E+01	6.92E-01	5.13E+09	1.08E-07	9.10E-03	2.66E-01	1.99E+01	8.30E-01	4.90E+01	2.36E-05	49.32	8.58E-01	2.11E+02
98	6528	3.02E+01	1.19E+00	5.52E+09	2.06E-07	1.46E-02	2.65E-01	1.88E+01	8.60E-01	5.13E+01	4.19E-05	51.257	1.30E+00	1.99E+02
99	4134.1	3.05E+01	7.53E-01	5.56E+09	0.00E+00	9.73E-03	2.30E-01	1.98E+01	8.85E-01	5.55E+01	3.11E-05	49.967	9.06E-01	2.19E+02
100	4019	3.02E+01	7.94E-01	5.97E+09	2.50E-07	6.50E-03	2.65E-01	1.97E+01	8.27E-01	5.32E+01	2.49E-05	39.974	6.76E-01	1.68E+02
