RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	TOTAL WORK	TOUGHNESS
57	3906.2	74.8	93	53.5	4.64E+09	6.14E+01	2.79	1.32E-02	5.37E+01	1.37E-02	5.32E+01	1.36E-02	2.20E-03	5.64E+01	1.44E-02	3.79E-03	24.09	3.79E+00	47.36	8.02E+01	2.05E-02	8.25E-03	7.02E+07
58	4463.6	77.4	90.6	62.8	4.58E+09	6.92E+01	1.63	7.94E-03	3.59E+01	8.04E-03							1.73	4.74E+00	1.89	3.65E+01	8.18E-03	1.21E-04	9.03E+05
59	3390.3	67.2	76.3	56.6	4.29E+09	4.88E+01	2.96	1.37E-02	4.68E+01	1.38E-02	4.60E+01	1.36E-02	1.94E-03	4.72E+01	1.39E-02	3.32E-03	28.46	2.65E+00	54.91	6.92E+01	2.04E-02	8.51E-03	8.25E+07
60	3516.6	73	91.3	49	4.76E+09	5.67E+01	2.86	1.39E-02	5.11E+01	1.45E-02	5.05E+01	1.44E-02	2.09E-03	5.21E+01	1.48E-02	3.61E-03	25.14	3.53E+00	49.38	7.57E+01	2.15E-02	8.19E-03	7.75E+07
61	4188.4	74.7	87.7	60.8	3.85E+09	5.46E+01	3.13	1.28E-02	5.54E+01	1.32E-02	5.56E+01	1.33E-02	2.23E-03	5.70E+01	1.36E-02	3.90E-03	25.58	3.43E+00	49.63	7.90E+01	1.89E-02	8.74E-03	6.94E+07
62	3579.4	70.3	83.3	54.7	4.61E+09	5.59E+01	2.79	1.31E-02	4.93E+01	1.38E-02	4.94E+01	1.38E-02	2.03E-03	5.14E+01	1.44E-02	3.49E-03	21.97	3.11E+00	42.9	6.81E+01	1.90E-02	6.60E-03	6.13E+07
63	2262.5	53.5	58.8	49	3.73E+09	2.82E+01	2.75	1.15E-02	2.70E+01	1.19E-02	2.71E+01	1.20E-02	1.11E-03	2.84E+01	1.26E-02	1.93E-03	26.26	1.35E+00	50.92	3.81E+01	1.68E-02	4.44E-03	6.44E+07
64	2500.3	58.1	66.2	48.1	4.78E+09	4.05E+01	2.89	1.44E-02	3.78E+01	1.51E-02	3.77E+01	1.51E-02	1.54E-03	3.95E+01	1.58E-02	2.68E-03	23.25	2.61E+00	45.58	5.44E+01	2.18E-02	5.50E-03	7.32E+07
65	3221.9	65.1	74.8	54.9	4.36E+09	4.73E+01	2.91	1.36E-02	4.49E+01	1.39E-02	4.47E+01	1.39E-02	1.86E-03	4.65E+01	1.44E-02	3.21E-03	22.24	3.12E+00	43.06	6.30E+01	1.96E-02	6.11E-03	6.26E+07
66	3892.1	72.3	87.1	56.9	4.21E+09	5.55E+01	2.86	1.25E-02	5.05E+01	1.30E-02	5.05E+01	1.30E-02	2.04E-03	5.21E+01	1.34E-02	3.56E-03	26.9	3.11E+00	52.91	7.49E+01	1.92E-02	8.70E-03	7.44E+07
67	3209.6	65.3	74.6	54.8	3.84E+09	4.13E+01	3.06	1.32E-02	4.31E+01	1.34E-02	4.25E+01	1.32E-02	1.77E-03	4.41E+01	1.37E-02	3.06E-03	28.42	2.61E+00	54.67	6.46E+01	2.01E-02	7.82E-03	8.01E+07
68	4315.7	75.1	83.2	66	3.95E+09	5.72E+01	3.32	1.35E-02	5.80E+01	1.34E-02	5.76E+01	1.33E-02	2.39E-03	5.90E+01	1.37E-02	4.12E-03	22.83	3.31E+00	43.36	7.67E+01	1.78E-02	7.74E-03	5.90E+07
