18	Slot  : FDAS770 Double-Ended	3	288	0	360	1409	3265.6	69.34	88.09	47.20	13.2750	234	
18	Slot  : FDAS770 Double-Ended	4	420	0	360	1409	2711.6	61.09	76.30	45.25	10.9849	234	
18	Slot  : FDAS770 Double-Ended	5	552	0	360	1409	2253.0	63.95	80.15	35.79	12.6449	235	
19	Slot  : FDAS770 Double-Ended	1	24	0	360	1483	1933.0	56.15	66.79	36.85	9.6049	234	
19	Slot  : FDAS770 Double-Ended	2	156	0	360	1483	2607.8	60.89	74.05	44.84	9.4299	235	
19	Slot  : FDAS770 Double-Ended	3	288	0	360	1483	2540.8	60.84	74.80	43.25	10.2399	234	
19	Slot  : FDAS770 Double-Ended	4	420	0	360	1483	2173.8	57.20	67.59	40.95	8.5650	233	
19	Slot  : FDAS770 Double-Ended	5	552	0	360	1483	2681.0	61.75	76.90	44.39	9.5399	227	
20	Slot  : FDAS770 Double-Ended	1	24	0	360	1564	2884.2	64.59	79.40	46.25	10.5299	236	
20	Slot  : FDAS770 Double-Ended	2	156	0	360	1564	3091.1	66.60	81.15	48.50	10.8500	235	
20	Slot  : FDAS770 Double-Ended	3	288	0	360	1564	3050.6	67.40	80.50	48.25	11.0050	235	
20	Slot  : FDAS770 Double-Ended	4	420	0	360	1564	3079.1	68.19	80.09	48.95	10.5000	236	
20	Slot  : FDAS770 Double-Ended	5	552	0	360	1564	3341.7	69.25	83.59	50.90	10.5299	237	
21	Slot  : FDAS770 Double-Ended	1	24	0	360	1635	1882.9	49.60	51.39	46.65	1.3450	235	
21	Slot  : FDAS770 Double-Ended	2	156	0	360	1635	1983.7	50.05	52.25	48.34	1.1899	238	
21	Slot  : FDAS770 Double-Ended	3	288	0	360	1635	2040.5	50.65	52.54	49.45	0.8900	237	
21	Slot  : FDAS770 Double-Ended	4	420	0	360	1635	2000.0	50.54	51.60	49.35	0.6100	233	
21	Slot  : FDAS770 Double-Ended	5	552	0	360	1635	1870.4	48.70	50.20	47.44	0.7149	236	
22	Slot  : FDAS770 Double-Ended	1	24	0	360	1706	2988.6	62.60	73.05	52.09	7.1050	235	
22	Slot  : FDAS770 Double-Ended	2	156	0	360	1706	3165.7	64.59	72.04	55.95	5.1000	237	
22	Slot  : FDAS770 Double-Ended	3	288	0	360	1706	3184.8	64.94	72.54	55.90	5.2550	236	
22	Slot  : FDAS770 Double-Ended	4	420	0	360	1706	3340.3	65.94	71.30	59.65	3.7450	235	
22	Slot  : FDAS770 Double-Ended	5	552	0	360	1706	3182.0	65.39	75.80	53.45	7.3400	237	
23	Slot  : FDAS770 Double-Ended	1	24	0	360	1774	2748.7	62.84	76.75	45.60	10.3949	236	
23	Slot  : FDAS770 Double-Ended	2	156	0	360	1774	2612.2	64.09	76.90	43.25	10.6450	237	
23	Slot  : FDAS770 Double-Ended	3	288	0	360	1774	2683.0	62.10	73.15	46.70	8.5199	235	
23	Slot  : FDAS770 Double-Ended	4	420	0	360	1774	2574.2	65.75	79.65	41.15	11.9049	234	
23	Slot  : FDAS770 Double-Ended	5	552	0	360	1774	2354.1	59.54	72.40	41.40	10.0550	235	
24	Slot  : FDAS770 Double-Ended	1	24	0	360	1837	2978.4	65.59	80.09	47.35	10.9400	236	
24	Slot  : FDAS770 Double-Ended	2	156	0	360	1837	3128.9	66.44	78.50	50.75	8.9949	236	
24	Slot  : FDAS770 Double-Ended	3	288	0	360	1837	3135.6	67.14	77.90	51.25	9.1850	234	
24	Slot  : FDAS770 Double-Ended	4	420	0	360	1837	3415.0	67.19	74.15	58.64	5.4950	235	
24	Slot  : FDAS770 Double-Ended	5	552	0	360	1837	3371.0	67.90	77.84	55.14	7.4700	233	
25	Slot  : FDAS770 Double-Ended	1	24	0	360	1920	3580.1	72.54	91.55	49.79	14.0500	234	
25	Slot  : FDAS770 Double-Ended	2	156	0	360	1920	3774.7	76.50	93.25	51.54	13.7150	236	
25	Slot  : FDAS770 Double-Ended	3	288	0	360	1920	3660.5	77.40	94.25	49.45	14.8699	233	
25	Slot  : FDAS770 Double-Ended	4	420	0	360	1920	3737.9	77.75	95.09	50.05	14.8350	231	
25	Slot  : FDAS770 Double-Ended	5	552	0	360	1920	3706.2	76.25	96.50	48.90	15.0950	235	
26	Slot  : FDAS770 Double-Ended	1	24	0	360	1987	2897.5	64.19	76.94	47.95	9.4549	235	
26	Slot  : FDAS770 Double-Ended	2	156	0	360	1987	2910.6	64.30	77.79	47.64	10.0749	237	
26	Slot  : FDAS770 Double-Ended	3	288	0	360	1987	2928.2	63.69	78.84	47.29	11.0649	233	
26	Slot  : FDAS770 Double-Ended	4	420	0	360	1987	3294.2	67.50	81.05	51.75	10.3000	232	
26	Slot  : FDAS770 Double-Ended	5	552	0	360	1987	3218.6	68.00	84.34	48.59	12.3100	236	
27	Slot  : FDAS770 Double-Ended	1	24	0	360	2055	2589.2	60.29	69.04	47.75	6.9099	235	
27	Slot  : FDAS770 Double-Ended	2	156	0	360	2055	2611.5	59.45	68.15	48.79	6.6500	236	
27	Slot  : FDAS770 Double-Ended	3	288	0	360	2055	2529.5	58.64	71.65	44.95	9.5550	234	
27	Slot  : FDAS770 Double-Ended	4	420	0	360	2055	2625.1	59.70	69.20	48.30	6.9749	234	
27	Slot  : FDAS770 Double-Ended	5	552	0	360	2055	2582.1	60.95	72.35	45.44	8.9149	232	
28	Slot  : FDAS770 Double-Ended	1	24	0	360	2121	5932.2	92.95	116.94	64.59	18.1599	237	
28	Slot  : FDAS770 Double-Ended	2	156	0	360	2121	6127.3	93.05	115.75	67.40	16.2550	237	
28	Slot  : FDAS770 Double-Ended	3	288	0	360	2121	6099.5	92.95	116.19	66.84	16.9099	234	
28	Slot  : FDAS770 Double-Ended	4	420	0	360	2121	5752.1	90.54	113.90	64.30	17.7150	236	
28	Slot  : FDAS770 Double-Ended	5	552	0	360	2121	5745.3	92.00	118.10	61.94	19.3099	234	
29	Slot  : FDAS770 Double-Ended	1	24	0	360	2194	6933.9	105.19	138.40	63.79	25.5900	234	
29	Slot  : FDAS770 Double-Ended	2	156	0	360	2194	8017.6	107.05	138.25	73.84	22.7600	238	
29	Slot  : FDAS770 Double-Ended	3	288	0	360	2194	7866.1	114.95	144.44	69.34	24.2299	235	
29	Slot  : FDAS770 Double-Ended	4	420	0	360	2194	8665.6	112.25	130.05	84.84	14.3449	235	
29	Slot  : FDAS770 Double-Ended	5	552	0	360	2194	8657.7	110.00	121.55	90.69	8.6999	235	
30	Slot  : FDAS770 Double-Ended	1	24	0	360	2259	2742.2	59.59	63.55	54.94	2.6199	237	
30	Slot  : FDAS770 Double-Ended	2	156	0	360	2259	2743.7	59.54	63.40	55.10	2.8299	235	
30	Slot  : FDAS770 Double-Ended	3	288	0	360	2259	2538.1	58.29	66.29	48.75	6.3000	236	
30	Slot  : FDAS770 Double-Ended	4	420	0	360	2259	2569.3	58.35	65.90	49.64	5.5000	234	
30	Slot  : FDAS770 Double-Ended	5	552	0	360	2259	2715.6	59.45	69.50	49.75	6.8049	234	
31	Slot  : FDAS770 Double-Ended	1	24	0	360	2322	3809.9	69.50	79.85	60.75	6.5749	235	
31	Slot  : FDAS770 Double-Ended	2	156	0	360	2322	3896.3	72.30	83.25	59.59	7.8550	237	
31	Slot  : FDAS770 Double-Ended	3	288	0	360	2322	4251.2	78.34	97.09	55.75	13.4449	235	
31	Slot  : FDAS770 Double-Ended	4	420	0	360	2322	4114.5	78.25	95.25	55.00	13.8900	234	
31	Slot  : FDAS770 Double-Ended	5	552	0	360	2322	3613.9	72.80	90.40	50.90	12.9449	234	
32	Slot  : FDAS770 Double-Ended	1	24	0	360	2388	1691.5	54.20	70.75	30.44	12.4199	233	
32	Slot  : FDAS770 Double-Ended	2	156	0	360	2388	2167.9	58.29	74.00	37.30	11.8249	233	
32	Slot  : FDAS770 Double-Ended	3	288	0	360	2388	2082.1	56.65	72.75	36.44	12.0699	234	
32	Slot  : FDAS770 Double-Ended	4	420	0	360	2388	2055.1	58.00	69.50	37.65	9.9350	233	
32	Slot  : FDAS770 Double-Ended	5	552	0	360	2388	2029.2	57.95	71.69	36.04	11.7149	232	
33	Slot  : FDAS770 Double-Ended	1	24	0	360	2450	3131.7	62.70	70.09	56.89	4.4800	235	
33	Slot  : FDAS770 Double-Ended	2	156	0	360	2450	3043.0	62.39	71.75	54.00	6.1100	237	
33	Slot  : FDAS770 Double-Ended	3	288	0	360	2450	3157.0	64.04	70.15	57.30	4.0750	233	
33	Slot  : FDAS770 Double-Ended	4	420	0	360	2450	2904.9	63.60	73.84	50.09	7.8350	235	
33	Slot  : FDAS770 Double-Ended	5	552	0	360	2450	3122.6	64.09	74.19	53.59	7.0099	233	
34	Slot  : FDAS770 Double-Ended	1	24	0	360	2516	1849.0	55.90	71.45	32.95	12.7049	234	
34	Slot  : FDAS770 Double-Ended	2	156	0	360	2516	1547.9	46.95	59.65	33.04	9.4549	236	
34	Slot  : FDAS770 Double-Ended	3	288	0	360	2516	2014.6	57.10	70.20	36.54	11.2349	236	
34	Slot  : FDAS770 Double-Ended	4	420	0	360	2516	2130.5	55.25	69.04	39.29	9.7849	236	
34	Slot  : FDAS770 Double-Ended	5	552	0	360	2516	2049.6	57.39	72.59	35.95	11.6199	234	
35	Slot  : FDAS770 Double-Ended	1	24	0	360	2578	2025.9	57.65	71.65	36.00	10.7049	231	
35	Slot  : FDAS770 Double-Ended	2	156	0	360	2578	1983.3	54.34	68.34	36.95	9.9350	236	
35	Slot  : FDAS770 Double-Ended	3	288	0	360	2578	2203.3	56.25	70.95	39.54	10.8249	231	
35	Slot  : FDAS770 Double-Ended	4	420	0	360	2578	2081.3	55.00	63.55	41.70	7.4300	235	
35	Slot  : FDAS770 Double-Ended	5	552	0	360	2578	2264.4	54.94	65.90	43.75	7.5300	236	
36	Slot  : FDAS770 Double-Ended	1	24	0	360	2652	2765.6	59.70	61.94	56.85	1.4299	235	
36	Slot  : FDAS770 Double-Ended	2	156	0	360	2652	2693.2	59.30	61.84	55.45	1.5500	237	
36	Slot  : FDAS770 Double-Ended	3	288	0	360	2652	2856.0	60.35	64.19	56.65	2.3050	236	
36	Slot  : FDAS770 Double-Ended	4	420	0	360	2652	2724.6	59.40	61.29	56.60	1.3500	232	
36	Slot  : FDAS770 Double-Ended	5	552	0	360	2652	2772.8	59.70	61.40	57.50	1.1699	234	
37	Slot  : FDAS770 Double-Ended	1	24	0	360	2715	1871.8	53.14	64.85	36.75	8.9149	234	
37	Slot  : FDAS770 Double-Ended	2	156	0	360	2715	2040.0	54.94	63.29	41.04	6.9249	238	
37	Slot  : FDAS770 Double-Ended	3	288	0	360	2715	1839.4	51.95	62.04	37.75	7.7100	234	
37	Slot  : FDAS770 Double-Ended	4	420	0	360	2715	1954.6	53.39	60.64	41.04	6.0399	233	
37	Slot  : FDAS770 Double-Ended	5	552	0	360	2715	1796.8	51.15	57.70	39.65	5.9000	235	
38	Slot  : FDAS770 Double-Ended	1	24	0	360	2785	1452.0	43.15	45.09	41.00	1.3700	238	
38	Slot  : FDAS770 Double-Ended	2	156	0	360	2785	1468.1	43.20	45.00	41.54	1.0900	236	
38	Slot  : FDAS770 Double-Ended	3	288	0	360	2785	1547.9	44.29	45.79	43.04	0.8799	237	
38	Slot  : FDAS770 Double-Ended	4	420	0	360	2785	1757.0	47.09	49.89	44.84	1.7849	235	
38	Slot  : FDAS770 Double-Ended	5	552	0	360	2785	1518.8	44.04	46.00	42.04	1.1299	236	
39	Slot  : FDAS770 Double-Ended	1	24	0	360	2854	4174.1	77.55	99.34	53.50	15.7650	239	
39	Slot  : FDAS770 Double-Ended	2	156	0	360	2854	4672.7	83.40	103.20	57.65	15.0000	236	
39	Slot  : FDAS770 Double-Ended	3	288	0	360	2854	4313.7	82.14	99.50	55.20	13.8800	236	
39	Slot  : FDAS770 Double-Ended	4	420	0	360	2854	4612.1	83.94	101.09	58.09	14.5549	236	
39	Slot  : FDAS770 Double-Ended	5	552	0	360	2854	4457.4	85.60	106.50	53.29	16.8699	235	
40	Slot  : FDAS770 Double-Ended	1	24	0	360	2923	2937.6	65.00	79.75	46.90	11.1350	235	
