Single Phase Analysis Version 11.0: Basic Format
Source File: D:\20241209$IHNY$25pk30 phosctrl$25pk30 0.01$25pk30 0.03$25pk30 0.05.uvc
Operator: 
Sample ID: 	1000
Bar Code: 	1000
File Comments: 	New File
Lower Area Filter: 	5.0
Upper Area Filter: 	2000.0
(*)Gauge Force Correction To Strain Axis:	NO
(#)Compliance (mm/N): 	0.0000
RECORD	MEAN AREA	ESTIMATED_LENGTH(*)	GRADIENT(*)	EMOD(*)(#)	DECRIMPING_WORK	EXTENSION_WORK	START_X(*)	START_Y	END_X(*)	END_Y	ANALYSIS_WORK	BREAK_STRAIN(*)(#)	BREAK_LOAD	TENSILE_STRENGTH	
	sq. micron	mm	N/mm	Pascals	Joules	Joules	% Strain	MPa	% Strain	MPa	Joules	% Strain	N	MPa	
76	4725.4	3.0280e+001	8.927e-001	5.720e+009	2.060e-007	9.942e-003	2.642e-001	1.972e+001	8.917e-001	5.523e+001	3.428e-005	49.141	8.913e-001	1.886e+002	
77	2662.6	3.0630e+001	4.383e-001	5.042e+009	7.358e-009	4.889e-003	2.938e-001	2.303e+001	8.815e-001	5.416e+001	1.875e-005	44.401	4.822e-001	1.811e+002	
78	3905.6	3.0410e+001	7.029e-001	5.473e+009	1.717e-008	9.292e-003	2.302e-001	1.783e+001	8.221e-001	5.011e+001	2.428e-005	52.779	7.961e-001	2.038e+002	
79	8527.6	3.0210e+001	1.341e+000	4.751e+009	5.886e-008	1.922e-002	2.317e-001	1.404e+001	8.275e-001	4.205e+001	4.282e-005	51.639	1.702e+000	1.996e+002	
80	5325.7	2.9980e+001	9.154e-001	5.153e+009	1.698e-005	1.113e-002	1.634e+000	1.096e+001	2.168e+000	3.758e+001	2.031e-005	51.601	9.585e-001	1.800e+002	
81	2929.8	3.0570e+001	5.168e-001	5.393e+009	0.000e+000	5.813e-003	2.617e-001	2.478e+001	8.505e-001	5.659e+001	2.159e-005	50.016	5.067e-001	1.730e+002	
82	4000.5	3.0710e+001	6.267e-001	4.811e+009	1.472e-008	1.111e-002	2.931e-001	1.950e+001	8.466e-001	4.586e+001	2.235e-005	62.976	7.795e-001	1.948e+002	
83	4629.3	3.0090e+001	7.901e-001	5.136e+009	9.811e-008	7.567e-003	2.326e-001	1.589e+001	8.308e-001	4.715e+001	2.656e-005	41.941	7.593e-001	1.640e+002	
84	5561.3	3.0160e+001	8.877e-001	4.814e+009	3.605e-007	1.041e-002	2.321e-001	1.402e+001	8.289e-001	4.287e+001	2.896e-005	45.656	1.019e+000	1.832e+002	
85	3633.0	3.0210e+001	6.473e-001	5.382e+009	0.000e+000	4.607e-003	2.317e-001	2.133e+001	8.275e-001	5.306e+001	2.476e-005	33.697	5.509e-001	1.516e+002	
86	2733.5	3.0240e+001	4.748e-001	5.252e+009	2.011e-007	5.608e-003	2.646e-001	2.153e+001	8.598e-001	5.348e+001	1.848e-005	48.181	5.111e-001	1.870e+002	
87	2795.5	3.0140e+001	5.562e-001	5.997e+009	0.000e+000	5.821e-004	2.322e-001	2.457e+001	8.295e-001	5.931e+001	2.146e-005	6.204	3.718e-001	1.330e+002	
88	6229.9	3.0360e+001	1.005e+000	4.897e+009	8.339e-008	1.322e-002	2.306e-001	1.433e+001	8.893e-001	4.630e+001	3.821e-005	50.659	1.165e+000	1.870e+002	
89	3603.3	3.0320e+001	5.871e-001	4.940e+009	4.905e-009	9.194e-003	2.639e-001	1.919e+001	8.245e-001	4.642e+001	1.967e-005	55.079	7.618e-001	2.114e+002	
90	4685.3	3.0240e+001	7.150e-001	4.615e+009	5.298e-007	9.885e-003	2.646e-001	1.235e+001	8.598e-001	3.978e+001	2.169e-005	53.968	8.040e-001	1.716e+002	
91	3491.6	3.0190e+001	5.808e-001	5.022e+009	-9.811e-009	8.934e-003	2.319e-001	1.925e+001	1.192e+000	6.659e+001	4.412e-005	59.424	6.848e-001	1.961e+002	
92	4264.0	3.0400e+001	7.284e-001	5.193e+009	5.052e-007	3.959e-003	2.632e-001	1.737e+001	8.224e-001	4.751e+001	2.345e-005	24.934	5.675e-001	1.331e+002	
93	3550.5	3.0300e+001	6.245e-001	5.329e+009	0.000e+000	8.018e-003	2.640e-001	2.307e+001	8.251e-001	5.250e+001	2.291e-005	52.112	6.872e-001	1.936e+002	
94	4094.8	3.0320e+001	7.783e-001	5.763e+009	2.575e-007	8.078e-003	2.968e-001	2.312e+001	8.245e-001	5.379e+001	2.524e-005	46.834	7.682e-001	1.876e+002	
95	5815.8	3.0320e+001	9.231e-001	4.812e+009	9.345e-007	1.228e-002	2.968e-001	1.442e+001	8.245e-001	4.006e+001	2.537e-005	50.660	1.114e+000	1.915e+002	
96	2614.2	3.0160e+001	3.785e-001	4.366e+009	5.886e-008	3.618e-003	2.653e-001	1.914e+001	1.359e+000	6.699e+001	3.539e-005	35.013	4.194e-001	1.604e+002	
97	4053.8	3.0340e+001	7.109e-001	5.321e+009	3.017e-007	9.344e-003	2.307e-001	1.621e+001	8.570e-001	4.985e+001	2.581e-005	53.856	7.711e-001	1.902e+002	
98	3321.1	3.0150e+001	5.655e-001	5.134e+009	2.404e-007	5.564e-003	2.653e-001	1.964e+001	8.624e-001	5.051e+001	2.131e-005	41.658	5.671e-001	1.707e+002	
99	3699.9	3.0260e+001	7.509e-001	6.141e+009	2.698e-007	8.493e-003	2.644e-001	1.856e+001	8.592e-001	5.608e+001	2.495e-005	52.115	7.186e-001	1.942e+002	
100	5371.0	3.0300e+001	6.144e-001	3.466e+009	1.373e-007	4.097e-004	2.640e-001	1.352e+001	8.251e-001	3.297e+001	2.118e-005	4.389	3.968e-001	7.389e+001	
Note 1: Columns marked (*) are affected if gauge force correction is applied
Note 2: Columns marked (#) are affected if the compliance factor is > 0
